file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
01_21_2021_vero #1_round 3_otter.ai (2),387,Vero,387,I'm ready to get started on the next round of tasks.,0,6,NA,NA,3,NA,NA,6,NA,3,TRUE,NA,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),388,Participant 217,387,Welcome back. Vero What have you been doing?,0,24,NA,387,3,217,NA,24,NA,3,FALSE,NA,0,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),389,Vero,387,Nothing. Just waiting.,0,29,NA,388,3,NA,NA,29,NA,3,TRUE,217,217,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),390,Participant 217,387,Right.,0,34,NA,389,3,217,NA,34,NA,3,FALSE,NA,0,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),391,Participant 316,387,"All right, ready?",0,39,NA,390,3,316,NA,39,NA,3,FALSE,217,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),392,Participant 217,387,Do we start here?,0,40,NA,391,3,217,NA,40,NA,3,FALSE,316,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),393,Participant 316,387,Yeah.,0,41,NA,392,3,316,NA,41,NA,3,FALSE,217,217,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),394,Participant 334,387,Okay.,0,46,NA,393,3,334,NA,46,NA,3,FALSE,316,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),395,Participant 316,387,Oh this is the desert one.,0,46,NA,394,3,316,NA,46,NA,3,FALSE,334,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),396,Participant 217,387,So do we think water again is the main thing or do we think we think something else again or?,1,21,NA,395,3,217,NA,81,NA,3,FALSE,316,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),397,Participant 316,387,Um I thought the water was again like number one.,1,31,NA,396,3,316,NA,91,NA,3,FALSE,217,217,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),398,Participant 217,387,Yeah.,1,36,NA,397,3,217,NA,96,NA,3,FALSE,316,316,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),399,Participant 334,387,Yeah.,1,36,NA,398,3,334,NA,96,NA,3,FALSE,217,316,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),400,Participant 316,387,Vero do have something to say.,1,41,NA,399,3,316,NA,101,NA,3,FALSE,334,0,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),401,Vero,387,I think water is one of the most important,1,44,NA,400,3,NA,NA,104,NA,3,TRUE,316,316,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),402,Participant 217,387,"Wow, you really helpful eh. Thanks.",1,51,NA,401,3,217,NA,111,NA,3,FALSE,NA,0,0,0,0,2,0
01_21_2021_vero #1_round 3_otter.ai (2),403,Vero,387,You're welcome.,1,55,NA,402,3,NA,NA,115,NA,3,TRUE,217,217,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),404,Participant 334,387,I also put the mirror at the top again.,2,1,NA,403,3,334,NA,121,NA,3,FALSE,NA,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),405,Participant 316,387,Yeah.,2,3,NA,404,3,316,NA,123,NA,3,FALSE,334,334,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),406,Participant 334,387,To signal for help.,2,4,NA,405,3,334,NA,124,NA,3,FALSE,316,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),407,Participant 316,387,Yeah.,2,6,NA,406,3,316,NA,126,NA,3,FALSE,334,334,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),408,Vero,387,I think the cosmetic mirror is one of the most important,2,16,NA,407,3,NA,NA,136,NA,3,TRUE,316,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),409,Participant 316,387,Um the map,2,26,NA,408,3,316,NA,146,NA,3,FALSE,NA,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),410,Participant 334,387,I also put that at the top.,2,32,NA,409,3,334,NA,152,NA,3,FALSE,316,316,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),411,Participant 316,387,Yeah.,2,34,NA,410,3,316,NA,154,NA,3,FALSE,334,334,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),412,Participant 316,387,"I think the salt tablets are kind of maybe somewhere in the middle because they would help with dehydration, like electrolytes and so",2,34,NA,411,3,316,NA,154,NA,3,FALSE,316,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),413,Participant 217,387,Yeah what exactly also tablets? What are they used for?,2,48,NA,412,3,217,NA,168,NA,3,FALSE,316,316,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),414,Vero,387,A bottle of 1000 salt tablets is a bottle of 1000 pills containing sodium chloride used to replace the salts lost during sweating.,2,55,NA,413,3,NA,NA,175,NA,3,TRUE,217,217,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),415,Participant 316,387,"So I think if you're sweating a ton, you'd want to make sure you weren't just drinking a ton of water and you'd want to like add the salt tablets every once in a while.",3,7,NA,414,3,316,NA,187,NA,3,FALSE,NA,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),416,Participant 217,387,"Geez, Okay, that sounds I think just trying not to die is the first thing now you're taking salt tablets sounds like you're running a marathon",3,19,NA,415,3,217,NA,199,NA,3,FALSE,316,316,0,3,1,0,0
01_21_2021_vero #1_round 3_otter.ai (2),417,Participant 316,387,I think it would help you not,3,30,NA,416,3,316,NA,210,NA,3,FALSE,217,217,0,1,2,0,0
01_21_2021_vero #1_round 3_otter.ai (2),418,Participant 217,387,what do you think is at the bottom? Do we think vodka or a book? No a book about edible animals? I suppose it's a bit self explanatory what to what to eat and what not to eat.,3,35,NA,417,3,217,NA,215,NA,3,FALSE,316,all,0,0,0,0,0
01_21_2021_vero #1_round 3_otter.ai (2),419,Participant 316,387,Yeah.,3,48,NA,418,3,316,NA,228,NA,3,FALSE,217,217,0,0,0,0,0
