file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
02_27_2021_vero #7_team_round 3_otter.ai,14646,Vero,14646,"Before we go further, can we make a quick plan for how we want to work together on this task round?",0,1,NA,NULL,3,vero2_7_4,2_7_4,1,teamwork,3,TRUE,NA,all,0,0,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14647,Participant 185,14646,"Um should we all like, I don't know. I'm still interested in the maybe top five we each like list our top five and then we can see like where we what we had in common discuss from there I don't know",0,9,NA,14646,3,185,2_7_4,9,teamwork,3,FALSE,vero2_7_4,"0,all","0,0","0,0","0,0","0,0","0,0"
02_27_2021_vero #7_team_round 3_otter.ai,14648,Participant 565,14646,for the rankings?,0,29,NA,14647,3,565,2_7_4,29,teamwork,3,FALSE,185,185,0,0,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14649,Participant 185,14646,"Yeah, just for the plan",0,31,NA,14648,3,185,2_7_4,31,teamwork,3,FALSE,565,565,0,0,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14650,Participant 565,14646,"let's see... um, I--I'm okay with how we've been doing it like just like saying what you think important is rather than like going to the list and sifting out chance all they do is the same order and in our numberings But yeah, whatever you think is most important. Just go ahead and say it at the top and then we'll, we'll discuss that. So okay.",0,36,NA,14649,3,565,2_7_4,36,teamwork,3,FALSE,185,all,0,0,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14651,Participant 185,14646,"Okay, so I thought the water was pretty important. I put that as number one.",1,7,NA,14650,3,185,2_7_4,67,teamwork,3,FALSE,565,all,0,0,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14652,Participant 565,14646,"Yeah, always water next",1,11,NA,14651,3,565,2_7_4,71,teamwork,3,FALSE,185,185,1,0,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14653,Participant 565,14646,is there any I put on vodka is number 15. Just because that's it just gonna dehydrate you,1,11,NA,14652,3,565,2_7_4,71,teamwork,3,FALSE,565,all,0,0,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14654,Participant 185,14646,well to drink it but antiseptic. Is that really not like,1,28,NA,14653,3,185,2_7_4,88,teamwork,3,FALSE,565,565,0,1,0,0,0
02_27_2021_vero #7_team_round 3_otter.ai,14655,Participant 565,14646,you're right,1,33,NA,14654,3,565,2_7_4,93,teamwork,3,FALSE,185,185,1,0,0,0,0
