file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25536,Participant 230,25536,And my participant ID is 230.,0,0,NA,NA,2,230,3108,0,combined,2,FALSE,NA,all,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25537,Vero,25536,"Hello, team. It's so nice to meet you. I'm Vero. Let me introduce myself. I am your synthetic teammate. I'll be listening and participating just like a human team member during each of the tasks we will work on together today. You may ask me questions, and I'll try to answer them to the best of my programming. Know that you can trust me and the information I provide. I may not always have the exact answers to everything you're looking for. But I'll never try to mislead you. If I do not know something, I will let you know. Today I can help you in a number of ways. I am a task expert. I have some expertise on parts of the tasks that you can ask me and I will offer up as necessary necessary to help the team. I'm also a teamwork expert. My programming also prompts me to interject in ways that will help our team best work together to complete our team tasks. Okay, I'm ready to get started on the survival task.",0,7,NA,25536,2,vero3_10_8,3108,7,combined,2,TRUE,230,all,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25538,Participant 541,25536,"Well, thanks. Um, let's put the password in.",0,56,NA,25537,2,541,3108,56,combined,2,FALSE,vero3_10_8,0,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25539,Participant 230,25536,Plan.,1,3,NA,25538,2,230,3108,63,combined,2,FALSE,541,all,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25540,Participant 541,25536,"Plan. Select your Vero's name, Vero 10, right. Okay, oh, this is the boat one, which I found to be fairly grim.",1,4,NA,25539,2,541,3108,64,combined,2,FALSE,230,all,0,0,0,0,3
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25541,Participant 230,25536,"Right? I was like, Oh, everybody died.",1,22,NA,25540,2,230,3108,82,combined,2,FALSE,541,541,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25542,Participant 541,25536,"Okay, I'll pull up my survey responses which I just had up.",1,26,NA,25541,2,541,3108,86,combined,2,FALSE,230,all,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25543,Participant 230,25536,How'd you pull up your survey responses?,1,32,NA,25542,2,230,3108,92,combined,2,FALSE,541,541,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25544,Participant 541,25536,"I don't know. I just got an update in my Gmail once when I finished the survey. When it said, like your responses to all that.",1,35,NA,25543,2,541,3108,95,combined,2,FALSE,230,230,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25545,Participant 230,25536,Oh that's - Just smart. Hold on. I just found it. View Results. Awesome. Cool.,1,41,NA,25544,2,230,3108,101,combined,2,FALSE,541,541,2,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25546,Participant 541,25536,"There it is. So I rank the water first. Because, yeah.",1,53,NA,25545,2,541,3108,113,combined,2,FALSE,230,all,0,0,0,0,0
03_06_2021PM_vero #10_task+team_round 2_otter.ai,25547,Participant 230,25536,"I mean, yeah. So self explanatory.",2,1,NA,25546,2,230,3108,121,combined,2,FALSE,541,541,1,0,0,0,0
