file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_06_2021PM_vero #4_task_round 3_otter.ai,29888,Participant 882,29888,"Oh, what's the password? Sorry? I can't see the messages.",0,3,NA,NULL,3,882,1_4_8,3,taskwork,3,FALSE,NA,all,0,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29889,Participant 888,29888,"I don't think they've sent it yet. Oh, it's tell. T-e-l-l.",0,11,NA,29888,3,888,1_4_8,11,taskwork,3,FALSE,882,882,0,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29890,Participant 882,29888,"Oh yeah, the desert one.",0,22,NA,29889,3,882,1_4_8,22,taskwork,3,FALSE,888,all,0,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29891,Participant 888,29888,"Let's do the top five. So I was thinking, go ahead.",0,47,NA,29890,3,888,1_4_8,47,taskwork,3,FALSE,882,"all,882","0,0","0,0","0,0","0,0","0,0"
03_06_2021PM_vero #4_task_round 3_otter.ai,29892,Participant 882,29888,"Oh no, go ahead. Sorry.",1,3,NA,29891,3,882,1_4_8,63,taskwork,3,FALSE,888,888,1,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29893,Participant 888,29888,"No, I was just thinking about my top 5, a quart of water per person. Okay it's a quart of water, salt tablets, the compression kit with gauze, a flashlight and a jack knife. But I was a little bit shaky with this one. I'm open for input.",1,5,NA,29892,3,888,1_4_8,65,taskwork,3,FALSE,882,all,0,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29894,Participant 510,29888,"I was thinking the compass since it say's we're south of the minig camp. But I guess we could also just follow the sun, I don't know.",1,35,NA,29893,3,510,NA,95,NA,3,FALSE,NA,all,0,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29895,Participant 888,29888,"No, that's a good point.",1,45,NA,29894,3,888,1_4_8,105,taskwork,3,FALSE,888,510,2,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29896,Participant 882,29888,"I was thinking the parachute. And the top coats would be really important. And the flashlights because in the desert, it's best to, like, hide under some shade during the day, I think and move at night. But it's gonna also be really cold at night. So you'll need coats. I think, yes Vero?.",1,47,NA,29895,3,882,1_4_8,107,taskwork,3,FALSE,888,"all,0","0,0","0,0","0,0","0,0","0,0"
03_06_2021PM_vero #4_task_round 3_otter.ai,29897,Vero,29888,I think that the top coat is one of the most important.,2,16,NA,29896,3,vero1_4_8,1_4_8,136,taskwork,3,TRUE,882,all,0,0,0,0,0
03_06_2021PM_vero #4_task_round 3_otter.ai,29898,Participant 882,29888,"Okay, then, yeah, I think it's also one of the most important because deserts get really cold. Okay. The set of salt tablets. Are you saying that because we'll probably sweat a lot and lose...",2,20,NA,29897,3,882,1_4_8,140,taskwork,3,FALSE,vero1_4_8,"0,all","1,0","0,0","0,0","0,0","0,0"
