file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
02_25_2021_vero #1_task_round 1_otter.ai,5257,Participant 697,5257,Do we just wait until we?,0,10,NA,NULL,3,697,1_1_1,10,taskwork,1,FALSE,NA,all,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5258,Participant 682,5257,"Yeah, I think we just wait.",0,13,NA,5257,3,682,1_1_1,13,taskwork,1,FALSE,697,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5259,Participant 697,5257,"final task has begun your 10 minutes to complete the task. Okay, cool. Can I read it out loud? Like do you guys?",0,48,NA,5258,3,697,1_1_1,48,taskwork,1,FALSE,682,all,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5260,Participant 682,5257,"Well, I see it. Yeah I seeit .",0,59,NA,5259,3,682,1_1_1,59,taskwork,1,FALSE,697,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5261,Participant 697,5257,"Awesome. Okay, well, I'm just gonna read it just because... Wait I'm so confused. Can we just. So we're stranded 15 items Rank them Okay, cool. Oh, are you guys on the situation page?",1,1,NA,5260,3,697,1_1_1,61,taskwork,1,FALSE,682,"682,all",,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5262,Participant 682,5257,Yeah.,1,21,NA,5261,3,682,1_1_1,81,taskwork,1,FALSE,697,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5263,Participant 959,5257,Yeah.,1,22,NA,5262,3,959,1_1_1,82,taskwork,1,FALSE,682,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5264,NA,5257,Unknown Speaker  1:23,1,22,NA,5263,3,959,1_1_1,82,taskwork,1,FALSE,959,,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5265,Participant 697,5257,"So you and your teammates are these crew originally scheduled to rendezvous with the mothership on the lighted surface of the moon. However, due to mechanical difficulties, your ship was forced to land at a spot some 200 miles from the rendezvous point. during reentry and landing much of the equipment aboard was damaged. And since survival depends on reaching the mothership, the most critical items available must be chosen for the 200 mile trip. Okay, so below are the 15 items. We are sticking together... awesome. So here's what I'm kind of confused on are, So are we walking the 200 miles?",1,22,NA,5264,3,959,1_1_1,82,taskwork,1,FALSE,959,all,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5266,Participant 682,5257,Yeah.,1,57,NA,5265,3,682,1_1_1,117,taskwork,1,FALSE,959,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5267,Participant 697,5257,"Jumping. Okay, because the issue with that is, if we're in our spacesuits, we can't take off our spacesuits or helmets without our like blood literally boiling. Sure, so we can't eat or drink anything. The 200 miles besides our little like water pouch inside the suit?",1,58,NA,5266,3,697,1_1_1,118,taskwork,1,FALSE,682,all,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5268,Participant 682,5257,Mm hmm. And oxygen.,2,17,NA,5267,3,682,1_1_1,137,taskwork,1,FALSE,697,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5269,Participant 697,5257,"Yeah, I said Oxygen.",2,20,NA,5268,3,697,1_1_1,140,taskwork,1,FALSE,682,682,1,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5270,Participant 959,5257,Oxygen is Very important.,2,21,NA,5269,3,959,1_1_1,141,taskwork,1,FALSE,697,697,1,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5271,Participant 682,5257,So we should put that as number one right.,2,23,NA,5270,3,682,1_1_1,143,taskwork,1,FALSE,959,959,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5272,Participant 697,5257,"Okay. Wait, where's the...",2,28,NA,5271,3,697,1_1_1,148,taskwork,1,FALSE,682,682,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5273,Participant 959,5257,oxygen?,2,29,NA,5272,3,959,1_1_1,149,taskwork,1,FALSE,697,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5274,Participant 697,5257,"Yes. Number one,",2,30,NA,5273,3,697,1_1_1,150,taskwork,1,FALSE,959,959,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5275,Participant 959,5257,"So that when you put number one, will it be visible to all our? Or it it individually up to us to put number one?",2,33,NA,5274,3,959,1_1_1,153,taskwork,1,FALSE,697,697,,,,,
02_25_2021_vero #1_task_round 1_otter.ai,5276,Participant 697,5257,"Sorry, can you see that again?",2,43,NA,5275,3,697,1_1_1,163,taskwork,1,FALSE,959,959,,,,,
