file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_06_2021PM_vero #4_task_round 2_otter.ai,29705,Participant 888,29705,"Hi Vero, my name is Yulia and my participant ID number is 888.",0,4,NA,NULL,3,888,1_4_8,4,taskwork,2,FALSE,NA,0,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29706,Participant 882,29705,"Hi Vero, my name is Mia. And my participant ID is 882.",0,17,NA,29705,3,882,1_4_8,17,taskwork,2,FALSE,888,0,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29707,Participant 510,29705,"Hi Vero, my name is Stephanie, and my participant ID number is 510.",0,27,NA,29706,3,510,NA,27,NA,2,FALSE,NA,0,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29708,Vero,29705,"Hello, team, I'm Vero, let me introduce myself. I'm your synthetic teammate. I'll be listening and participating just like a human team member during each of the tasks to work on together today. You may ask me questions, and I will try to answer them to the best of my programming. Know that you can trust me and the information I provide. I may not always have the exact answers to everything you're looking for. But I will never try to mislead you. If I do not know something I will tell you. Today, I can help you in a number of ways. I'm a task expert. I have some expertise, some parts of the tasks that you can ask me about or that I will offer up as necessary to help the team. Okay, I'm ready to get started on the survival task.",0,39,NA,29707,3,NA,NA,39,NA,2,TRUE,510,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29709,Participant 882,29705,"Okay, all right. What's the password? I'm sorry?",1,19,NA,29708,3,882,1_4_8,79,taskwork,2,FALSE,882,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29710,Participant 888,29705,"Plan, P-l-a-n.",1,25,NA,29709,3,888,1_4_8,85,taskwork,2,FALSE,882,882,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29711,Participant 882,29705,"Let's just start off like we did before with like the top five, I guess. Yeah. I said, once again, I think we have water, right. Yeah, I said water first. This time, I think the transistor radio would be really important. Since we're in the water, like the ocean, so it actually will work. And then I said the fishing kit, because we'll need some food. And then the sextant and the shark repellent. Maybe?",1,48,NA,29710,3,882,1_4_8,108,taskwork,2,FALSE,888,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29712,Participant 888,29705,"I just had a great question. Oh, I pretty much had similar things. Except I was just a little confused with the transistor radio. So I just want to make sure that I'm clear about this -  that the transistor radio we can use to receive information but not output information.",2,32,NA,29711,3,888,1_4_8,152,taskwork,2,FALSE,882,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29713,Participant 510,29705,I don't know.,2,54,NA,29712,3,510,NA,174,NA,2,FALSE,NA,888,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29714,Participant 882,29705,"I thought was the opposite way. Because there was like in the previous one, it said receiver versus transistor. Yes, Vero?",2,57,NA,29713,3,882,1_4_8,177,taskwork,2,FALSE,888,"888,0",,"1,0",,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29715,Vero,29705,May I say something?,3,10,NA,29714,3,vero1_4_8,1_4_8,190,taskwork,2,TRUE,882,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29716,Vero,29705,Chances are that you are out of range of any radio signal. I think that the transistor radio is one of the least important.,3,10,NA,29715,3,NA,NA,190,NA,2,TRUE,510,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29717,Participant 510,29705,"What about the rope? Maybe that would be useful, maybe not.",3,24,NA,29716,3,510,NA,204,NA,2,FALSE,NA,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29718,Participant 888,29705,"I didn't think the rope would be like super useful. Unless, like I mean, I don't know.",3,33,NA,29717,3,888,1_4_8,213,taskwork,2,FALSE,vero1_4_8,510,,1,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29719,Participant 882,29705,"Right? Because we're like in the ocean. So I'm not sure what we would use the rope to pull exactly. What are you thinking Stephanie? Like, what would you use the rope for?",3,43,NA,29718,3,882,1_4_8,223,taskwork,2,FALSE,888,510,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29720,Participant 510,29705,"I guess, probably wouldn't really be useful until we got even near land.",3,53,NA,29719,3,510,NA,233,NA,2,FALSE,510,882,1,1,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29721,Participant 882,29705,"I mean, it'll definitely be useful then. So maybe we should have it like, somewhat high up?",4,0,NA,29720,3,882,1_4_8,240,taskwork,2,FALSE,882,510,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29722,Participant 510,29705,"A sextant - you use that to look at the stars to kind of figure out where you are, right?",4,11,NA,29721,3,510,NA,251,NA,2,FALSE,510,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29723,Participant 882,29705,"I think that'd be pretty important. I think it's more useful than the map. Honestly. Yeah, I put, I put the maps pretty low just because personally, I don't think a big map of the Pacific Ocean is going to do much help for us. Yeah,",4,17,NA,29722,3,882,1_4_8,257,taskwork,2,FALSE,882,510,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29724,Participant 888,29705,"Also, I thought the...",4,37,NA,29723,3,888,1_4_8,277,taskwork,2,FALSE,882,882,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29725,Participant 510,29705,"... rations, in case the fishing doesn't work out.",4,39,NA,29724,3,510,NA,279,NA,2,FALSE,510,888,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29726,Participant 888,29705,"Yeah. So do you want to start with like the top five and then sort of move on? Okay. Um, I think most of us put water as the top one?",4,45,NA,29725,3,888,1_4_8,285,taskwork,2,FALSE,888,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29727,Participant 882,29705,"Right. Yeah, I put water first.",5,1,NA,29726,3,882,1_4_8,301,taskwork,2,FALSE,888,888,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29728,Participant 888,29705,"Okay, so we can put water as number one.And then, the army rations?",5,4,NA,29727,3,888,1_4_8,304,taskwork,2,FALSE,882,"882,all",,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29729,Participant 510,29705,"Yeah, I think so.",5,15,NA,29728,3,510,NA,315,NA,2,FALSE,510,888,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29730,Participant 882,29705,Yeah. Okay.,5,16,NA,29729,3,882,1_4_8,316,taskwork,2,FALSE,888,888,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29731,Participant 882,29705,"And then the fishing kit? In case we've run out of rations. Yeah, we're like 1000 miles from land or something.",5,16,NA,29730,3,882,1_4_8,316,taskwork,2,FALSE,882,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29732,Participant 888,29705,"Right, right.",5,31,NA,29731,3,888,1_4_8,331,taskwork,2,FALSE,882,882,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29733,Participant 882,29705,"Yeah. Oh, also, I was looking. I was thinking, Okay, so we have chocolate bars, right? Yeah. But the.. oh I think Vero wants to say something.",5,33,NA,29732,3,882,1_4_8,333,taskwork,2,FALSE,888,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29734,NA,29705,Unknown Speaker  5:46,5,33,NA,29733,3,882,1_4_8,333,taskwork,2,FALSE,882,,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29735,Vero,29705,May I say something?,5,33,NA,29734,3,882,1_4_8,333,taskwork,2,FALSE,882,all,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29736,Participant 888,29705,Yeah.,5,48,NA,29735,3,888,1_4_8,348,taskwork,2,FALSE,882,0,,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29737,Vero,29705,"I think that the fishing kit is neither the most or the least important. A fishing kit is potentially useful, but there's no guarantee that we would be able to catch fish.",5,49,NA,29736,3,vero1_4_8,1_4_8,349,taskwork,2,TRUE,888,888,,2,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29738,Participant 882,29705,That's fair.,6,2,NA,29737,3,882,1_4_8,362,taskwork,2,FALSE,vero1_4_8,0,2,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29739,Participant 888,29705,"Yeah, that's true. I mean, I think depending on where we are in the ocean, also there's five minutes, depending where we are in the ocean, a lot of the sea life might be pretty far below the surface. Which might raise an issue. Goog point, Vero.",6,2,NA,29738,3,888,1_4_8,362,taskwork,2,FALSE,882,"0,all,0","2,2,2",,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29740,Participant 882,29705,We could put it at like 10.,6,23,NA,29739,3,882,1_4_8,383,taskwork,2,FALSE,888,888,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29741,Participant 888,29705,Exactly.,6,25,NA,29740,3,888,1_4_8,385,taskwork,2,FALSE,882,882,2,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29742,Participant 510,29705,"So she said the radio isn't important either, so I guess we can put that pretty low.",6,32,NA,29741,3,510,NA,392,NA,2,FALSE,510,all,1,,,,
03_06_2021PM_vero #4_task_round 2_otter.ai,29743,Participant 882,29705,"Yeah, yeah.",6,36,NA,29742,3,882,1_4_8,396,taskwork,2,FALSE,888,510,1,,,,
