PID,Condition,uniteam,fluency_ind_1,fluency_ind_2,fluency_ind_3,flex_ind_1,flex_ind_2,flex_ind_3,novel_ind_1,novel_ind_2,novel_ind_3,fluency_team_1,fluency_team_2,fluency_team_3,flex_team_1,flex_team_2,flex_team_3,novel_team_1,novel_team_2,novel_team_3,ind1,ind2,ind3,team1,team2,team3
236,3,10,5,6,5,5,6,4,0.969687119,0.969831054,0.978551787,32,30,28,21,24,21,0.984881664,0.9866823,0.984220259,48,78,82,38,38,56
614,3,10,22,16,5,16,14,5,0.984612123,0.983440601,0.967736022,32,30,28,21,24,21,0.984881664,0.9866823,0.984220259,38,86,58,38,38,56
615,3,10,12,13,13,10,13,9,0.978318918,0.979743708,0.977609009,32,30,28,21,24,21,0.984881664,0.9866823,0.984220259,42,72,58,38,38,56
232,3,9,6,9,8,5,7,7,0.983746445,0.988915706,0.973762603,28,29,29,18,19,18,0.985596649,0.986461076,0.984114541,62,48,64,36,38,58
300,3,9,7,9,8,5,5,6,0.9780577,0.970993117,0.967461045,28,29,29,18,19,18,0.985596649,0.986461076,0.984114541,52,74,60,36,38,58
573,3,9,12,13,9,9,12,9,0.981250363,0.989665202,0.97923923,28,29,29,18,19,18,0.985596649,0.986461076,0.984114541,40,NA,70,36,38,58
466,3,8,6,12,9,3,8,6,0.978870378,0.98075376,0.977238008,28,27,26,20,19,15,0.986059306,0.984982687,0.983143537,44,74,64,48,74,54
710,3,8,9,11,7,9,11,6,0.977967403,0.981663985,0.985792851,28,27,26,20,19,15,0.986059306,0.984982687,0.983143537,42,78,68,48,74,54
988,3,8,6,7,6,6,7,4,0.971759447,0.970886967,0.963794684,28,27,26,20,19,15,0.986059306,0.984982687,0.983143537,33,78,64,48,74,54
152,3,7,7,6,6,7,6,5,0.984305161,0.960694173,0.965398717,28,14,18,22,11,11,0.984481439,0.982324182,0.980130927,48,78,62,32,38,50
857,3,7,5,3,3,5,3,3,0.974238115,0.950925181,0.964864039,28,14,18,22,11,11,0.984481439,0.982324182,0.980130927,52,64,70,32,38,50
945,3,7,7,6,5,7,4,4,0.978405991,0.979887369,0.957011916,28,14,18,22,11,11,0.984481439,0.982324182,0.980130927,60,86,88,32,38,50
524,2,5,10,11,12,9,10,8,0.979926859,0.980399327,0.974144516,40,30,22,21,20,15,0.987152389,0.983524441,0.981916685,52,78,66,44,74,64
739,2,5,9,8,6,8,6,6,0.988351619,0.978982301,0.961197678,40,30,22,21,20,15,0.987152389,0.983524441,0.981916685,54,70,46,44,74,64
997,2,5,11,11,8,10,9,8,0.983413985,0.980874717,0.970439963,40,30,22,21,20,15,0.987152389,0.983524441,0.981916685,54,70,74,44,74,64
227,2,4,9,5,7,8,4,6,0.97367827,0.974094932,0.967862053,32,17,17,20,14,12,0.982238326,0.987114269,0.981412855,70,94,68,52,94,86
532,2,4,15,9,9,9,6,6,0.984439611,0.981013677,0.967781852,32,17,17,20,14,12,0.982238326,0.987114269,0.981412855,84,86,78,52,94,86
963,2,4,6,4,5,6,4,4,0.973452526,0.975160901,0.963153071,32,17,17,20,14,12,0.982238326,0.987114269,0.981412855,74,82,80,52,94,86
177,1,2,6,4,4,5,3,4,0.97203034,0.968322607,0.958180568,31,27,17,21,17,12,0.984317626,0.985507441,0.983036093,70,78,46,26,28,20
