nodes_egonet,edges_egonet,net_id,density_egonet,transitivity_egonet,ass_gender_egonet,ass_edu_egonet,ass_age_egonet,ass_race_egonet,size_egonet
6,15,101,0.5,1,-0.1904761904761905,-0.2386199945087579,0.31369939183569,-0.17647058823529402,6
5,7,109,0.35,0.6428571428571429,-0.20689655172413798,0.3311330892662698,0.15113274084082046,-0.029411764705882387,5
3,3,112,0.5,1,-0.5000000000000001,NA,-0.5000000000000001,0,3
5,8,113,0.4,0.7894736842105263,-0.23076923076923078,NA,-0.25819888974716115,0,5
3,1,114,0.16666666666666666,NA,NA,NA,NA,0,2
6,15,115,0.5,1,-0.11940298507462688,-0.2386199945087579,0.36944586977848154,0,6
6,9,117,0.3,0.6521739130434783,-0.15384615384615383,0.039528470752104604,-0.21664179440693068,0.04545454545454545,6
6,15,128,0.5,1,-0.20000000000000004,0.04004808657316352,-0.11032450297587222,-0.054687499999999965,6
6,10,139,0.33333333333333337,0.6923076923076923,-0.08695652173913052,0.15904573316384762,0.2519665344030644,0,6
6,11,140,0.36666666666666664,0.75,-0.13793103448275837,-0.061167774184119665,0.10904995136125399,0.019801980198019802,6
6,10,149,0.33333333333333337,0.6428571428571429,NA,0.24976918100516957,-0.10125452048591287,0.04761904761904763,6
6,9,152,0.3,0.7142857142857143,-0.04651162790697674,-0.18138889765096378,0.22416096662402307,0,6
6,15,155,0.5,1,-0.11940298507462688,-0.23448415270422276,0.347931027842638,-0.1904761904761905,6
4,6,167,0.5,1,0.07692307692307689,0.3999999999999983,NA,-0.03448275862068967,4
6,15,168,0.5,1,-0.13924050632911386,-0.06131393394849336,-0.11585655421396159,0,6
6,9,172,0.3,0.5454545454545454,-0.3500000000000001,0,-0.3162277660168379,-0.10769230769230768,6
6,8,185,0.26666666666666666,0.631578947368421,0,0.2672612419124244,-0.11162382894799562,0.06976744186046512,6
6,11,190,0.36666666666666664,0.75,-0.13793103448275917,NA,0.3451971984461373,0.019801980198019802,6
