id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
697,4,NA,1_1_1,0,TRUE,TRUE,TRUE,1,682,7,7,7,NA,FALSE,7,7,7,NA,FALSE,7,7,7,NA,FALSE
697,4,NA,1_1_1,0,TRUE,TRUE,TRUE,2,959,6,7,7,NA,FALSE,7,7,7,NA,FALSE,7,7,7,NA,FALSE
697,4,NA,1_1_1,0,TRUE,TRUE,TRUE,4,vero1_1_1,NA,NA,NA,NA,NA,6,6,6,2,FALSE,5,6,6,2,FALSE
682,2,NA,1_1_1,0,FALSE,TRUE,TRUE,1,697,7,7,7,1,TRUE,7,7,7,1,TRUE,7,4,7,NA,TRUE
682,2,NA,1_1_1,0,FALSE,TRUE,TRUE,2,959,7,6,6,2,FALSE,6,6,6,2,FALSE,5,4,3,NA,FALSE
682,2,NA,1_1_1,0,FALSE,TRUE,TRUE,4,vero1_1_1,NA,NA,NA,NA,NA,6,5,6,3,FALSE,2,3,3,4,FALSE
959,4,NA,1_1_1,0,TRUE,TRUE,TRUE,1,697,7,7,7,6,TRUE,7,7,6,1,TRUE,7,7,6,1,TRUE
959,4,NA,1_1_1,0,TRUE,TRUE,TRUE,2,682,6,6,6,6,FALSE,5,6,5,1,TRUE,6,5,5,1,FALSE
959,4,NA,1_1_1,0,TRUE,TRUE,TRUE,4,vero1_1_1,NA,NA,NA,NA,NA,6,6,5,NA,TRUE,6,5,5,1,FALSE
823,4,NA,1_2_1,0,FALSE,FALSE,FALSE,1,177,7,7,7,1,TRUE,7,7,7,1,FALSE,7,7,7,1,FALSE
823,4,NA,1_2_1,0,FALSE,FALSE,FALSE,2,346,7,7,7,1,FALSE,7,6,7,1,FALSE,7,7,7,1,FALSE
823,4,NA,1_2_1,0,FALSE,FALSE,FALSE,4,vero1_2_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
177,5,NA,1_2_1,0,TRUE,TRUE,TRUE,1,346,6,6,6,2,TRUE,6,6,6,2,TRUE,7,7,7,1,TRUE
177,5,NA,1_2_1,0,TRUE,TRUE,TRUE,2,823,4,6,4,2,FALSE,5,6,6,2,TRUE,7,7,7,1,TRUE
177,5,NA,1_2_1,0,TRUE,TRUE,TRUE,4,vero1_2_1,NA,NA,NA,NA,NA,5,5,5,3,FALSE,6,5,4,2,TRUE
346,5,NA,1_2_1,0,TRUE,TRUE,FALSE,1,177,6,5,6,2,TRUE,6,6,6,1,FALSE,6,7,4,1,TRUE
346,5,NA,1_2_1,0,TRUE,TRUE,FALSE,2,823,2,5,2,5,FALSE,4,6,6,1,FALSE,5,7,4,1,TRUE
346,5,NA,1_2_1,0,TRUE,TRUE,FALSE,4,vero1_2_1,NA,NA,NA,NA,NA,1,6,1,1,FALSE,NA,3,2,1,FALSE
499,5,NA,2_3_1,0,FALSE,FALSE,FALSE,2,224,6,NA,6,7,FALSE,7,7,6,6,FALSE,7,7,6,7,TRUE
499,5,NA,2_3_1,0,FALSE,FALSE,FALSE,3,650,6,NA,7,7,TRUE,7,7,7,7,FALSE,6,7,7,7,FALSE
499,5,NA,2_3_1,0,FALSE,FALSE,FALSE,4,vero2_3_1,NA,NA,NA,NA,NA,6,7,7,7,FALSE,7,6,6,6,FALSE
